nome;idade;cpf;rg;data_nasc;sexo;signo;mae;pai;email;senha;cep;endereco;numero;bairro;cidade;estado;telefone_fixo;celular;altura;peso;tipo_sanguineo;cor
Aparecida Larissa Aragao;25;218.549.480-59;19.677.435-4;05/10/1999;Feminino;Libra;Beatriz Sarah Liz;Diogo Bernardo Marcelo Aragao;aparecida-aragao93@bol.br;PuTnKrabJM;69914-300;Rua Sergipe;916;Waldemar Maciel;Rio Branco;AC;(68) 2614-1590;(68) 98987-6298;1,69;83;AB-;vermelho
Aparecida Rosa Moura;70;625.627.606-03;49.965.568-0;04/07/1954;Feminino;Cancer;Emanuelly Isis Mariane;Emanuel Joao Moura;aparecidarosamoura@akaer.com.br;SqnxklUCzC;78058-845;Rua V;107;Planalto;Cuiaba;MT;(65) 2898-5847;(65) 99187-1758;1,75;82;B+;vermelho
Arthur Jose Marcio Galvao;24;334.311.452-99;47.569.831-9;07/05/2000;Masculino;Touro;Elza Natalia Alana;Fabio Nicolas Galvao;arthur_galvao@sinsesp.com.br;9cLoln2Mnr;79042-300;Rua Oceania;991;Tiradentes;Campo Grande;MS;(67) 2802-4113;(67) 99278-5946;1,83;73;B-;preto
Augusto Enzo Raimundo da Rosa;39;742.707.471-88;26.687.957-3;27/08/1985;Masculino;Virgem;Francisca Stefany Barbara;Nelson Yago da Rosa;augustoenzodarosa@ecotransambiental.com.br;nZ7X5jdHld;40390-696;2ª Travessa Juscelino Barreto;614;Sao Caetano;Salvador;BA;(71) 3522-4213;(71) 99189-9994;1,95;63;B-;roxo
Augusto Leonardo Baptista;78;239.896.845-66;12.785.612-2;05/01/1946;Masculino;Capricornio;Antonia Julia Cecilia;Marcio Victor Baptista;augusto.leonardo.baptista@grupomozue.com.br;wqmzahG0LR;57073-577;5ª Travessa Gabino Besouro;684;Cidade Universitaria;Maceio;AL;(82) 2766-2403;(82) 99321-2231;1,67;74;B+;roxo
Aurora Regina Brito;24;980.855.348-60;43.349.730-0;10/01/2000;Feminino;Capricornio;Patricia Rebeca;Carlos Eduardo Benicio Filipe Brito;aurora_regina_brito@bbcreative.org;8Ai7rNhoeT;41207-550;Rua Carla;655;Tancredo Neves;Salvador;BA;(71) 2826-6288;(71) 99682-8648;1,84;62;A+;laranja
Aurora Stefany Isabelle Lopes;67;277.125.716-51;37.337.806-3;03/01/1957;Feminino;Capricornio;Priscila Aline Sophie;Claudio Bernardo Lopes;aurora.stefany.lopes@estevao.ind.br;wxrGZMNFwO;77440-604;Rua 18;814;Setor Aeroporto II;Gurupi;TO;(63) 2943-3022;(63) 98195-0803;1,56;80;B-;azul
Ayla Bianca Isabela Duarte;67;149.281.919-00;19.366.354-5;10/03/1957;Feminino;Peixes;Cristiane Juliana Esther;Diego Thiago Duarte;ayla.bianca.duarte@infouai.com;lnDtsic3qu;69905-688;Travessa Nossa Senhora de Nazare;990;Seis de Agosto;Rio Branco;AC;(68) 2657-7577;(68) 99243-1760;1,64;57;AB+;vermelho
Ayla Daniela Farias;68;871.994.158-77;42.678.035-8;25/01/1956;Feminino;Aquario;Amanda Heloise Alicia;Martin Leonardo Carlos Eduardo Farias;ayla_farias@deere.com;pKpASzFAyo;74672-810;Rua Bem-te-vi;529;Santa Genoveva;Goiania;GO;(62) 3635-2570;(62) 99816-1357;1,67;52;A+;preto
Benedito Caua Rezende;67;729.234.448-84;27.915.539-6;16/02/1957;Masculino;Aquario;Emilly Valentina;Pietro Leonardo Rezende;benedito-rezende89@fluxioneventos.com.br;Ph9FhRN1yR;96825-470;Corredor Goelzer;844;Margarida;Santa Cruz do Sul;RS;(51) 2775-8684;(51) 98271-4969;1,91;104;A-;verde
Benedito Nicolas Iago da Conceicao;29;959.227.490-80;43.583.534-8;16/06/1995;Masculino;Gemeos;Livia Ester Mariana;Anderson Lucca Heitor da Conceicao;benedito.nicolas.daconceicao@hotmmail.com;Jp77yBrjWI;59054-010;Rua Edilza Maciel;633;Dix-Sept Rosado;Natal;RN;(84) 2831-5463;(84) 98328-6318;1,88;53;O+;vermelho
Betina Antonella Jennifer Farias;30;977.301.680-30;50.287.005-9;02/02/1994;Feminino;Aquario;Rebeca Elisa;Geraldo Vinicius Farias;betina.antonella.farias@scalioni.com.br;4FGIh3KD0H;78149-448;Travessa Sessenta e Oito;542;Parque dos Bandeirantes;Varzea Grande;MT;(65) 3909-9901;(65) 98415-9631;1,79;49;B-;laranja
Betina Raquel Campos;79;231.851.067-92;20.102.769-0;03/10/1945;Feminino;Libra;Luzia Juliana;Henrique Carlos Eduardo Campos;betinaraquelcampos@lhp.com.br;mjh8Rjj44B;68815-970;Avenida Jarbas Passarinho, s/n;418;Centro;Curralinho;PA;(91) 3863-6204;(91) 99655-3304;1,72;84;AB+;preto
Bianca Flavia Heloise Martins;80;285.636.628-72;19.995.631-5;25/09/1944;Feminino;Libra;Heloise Hadassa Rayssa;Calebe Renan Martins;bianca-martins83@artelazer.com;jPEHF7a6St;78052-574;Rua Tres;558;Jardim Brasil;Cuiaba;MT;(65) 3559-0227;(65) 98132-7522;1,62;75;B-;roxo
Breno Vinicius Osvaldo Figueiredo;42;101.867.850-62;19.033.420-4;24/03/1982;Masculino;aries;Jennifer Sandra;Thomas Raul Renan Figueiredo;brenoviniciusfigueiredo@gmindustria.com.br;D6j8g6WSjr;49032-130;Rua Matapoa;198;Farolandia;Aracaju;SE;(79) 2646-4292;(79) 98710-2062;1,65;73;AB+;verde
Bruna Benedita Santos;75;667.960.734-52;19.293.480-6;07/05/1949;Feminino;Touro;Fernanda Evelyn;Fernando Kaue Thales Santos;brunabeneditasantos@rocketmail.com;U2JJNDJ3Gx;76801-760;Beco da Amizade;112;Sao Sebastiao;Porto Velho;RO;(69) 2947-3820;(69) 99475-7429;1,55;56;O-;preto
Bruno Augusto Sales;25;426.270.389-40;46.634.103-9;11/05/1999;Masculino;Touro;Natalia Clara;Igor Thiago Sales;brunoaugustosales@pib.com.br;L4O4Xtt4mu;59060-300;Avenida Jeronimo Camara;354;Nossa Senhora de Nazare;Natal;RN;(84) 2918-1998;(84) 99216-1754;1,74;91;B+;vermelho
Bruno Edson Joaquim Pereira;40;981.271.767-61;13.694.805-4;15/09/1984;Masculino;Virgem;Camila Adriana;Martin Paulo Pereira;bruno_pereira@campanati.com.br;ZSmZXdzI3w;57070-550;Rua Frei Damiao;317;Rio Novo;Maceio;AL;(82) 2517-5799;(82) 98244-3621;1,96;61;O-;azul
Bryan Enzo de Paula;51;057.145.653-71;11.254.089-2;04/01/1973;Masculino;Capricornio;Barbara Milena;Pedro Nicolas de Paula;bryan.enzo.depaula@argo.com.br;2HtFMIYChm;58105-714;Rua Rosemiro Rodrigues de Lima;577;Jacare;Cabedelo;PB;(83) 3587-2416;(83) 98532-3366;2;84;B-;preto
Bryan Kaue da Luz;80;895.186.727-76;18.330.638-7;04/10/1944;Masculino;Libra;Malu Silvana Josefa;Gabriel Geraldo da Luz;bryan_kaue_daluz@nipbr.com.br;XB065ZixI5;79092-080;Rua Felipe Calarge;364;Jardim Leblon;Campo Grande;MS;(67) 2627-0423;(67) 99957-3101;1,94;93;O+;vermelho
Caio Anderson Costa;27;572.956.386-87;10.446.053-2;15/07/1997;Masculino;Cancer;Rosangela Benedita;Bruno Edson Costa;caio-costa99@power.alston.com;kZyUG53lFm;15040-674;Rua alvaro Rodrigues Laranja;401;Parque Residencial J. Macedo;Sao Jose do Rio Preto;SP;(17) 2804-1214;(17) 98169-2305;1,92;79;A+;vermelho
Caleb Leonardo Aragao;50;385.815.485-71;11.984.052-2;05/10/1974;Masculino;Libra;Livia Sara Eloa;Luis Ian Augusto Aragao;caleb-aragao70@sorocaba.com;o8qJ4yHyRp;69901-322;Rua Casa Nova ll;272;Baixa da Colina;Rio Branco;AC;(68) 2857-9298;(68) 99624-9012;1,83;66;AB+;azul
Calebe Bruno Nunes;36;303.766.433-90;19.108.083-4;11/01/1988;Masculino;Capricornio;Renata Eloa Elaine;Matheus Otavio Nunes;calebe_nunes@academiaconcerto.art.br;uWfkPlwI1j;75705-620;Rua 121;146;Setor Aeroporto;Catalao;GO;(64) 2525-5161;(64) 98932-8174;1,61;63;O-;vermelho
Camila Cecilia Jennifer Caldeira;38;997.179.706-29;29.520.233-6;15/02/1986;Feminino;Aquario;Luna Eduarda;Tiago Caua Caldeira;camila_cecilia_caldeira@gameecia.com.br;RlYtSeq9jp;59610-080;Rua Doutor Mario Negocio;905;Centro;Mossoro;RN;(84) 3651-3177;(84) 98475-3326;1,57;86;B-;laranja
Carla Hadassa Brenda Moraes;67;053.104.824-15;30.254.542-6;27/09/1957;Feminino;Libra;Andreia Ayla;Emanuel Hugo Moraes;carla-moraes80@kinouchi.com.br;yzEjF8pmGO;65052-116;Residencial Itaguara II;547;Cohatrac;Sao Luis;MA;(98) 2739-9377;(98) 99894-8926;1,61;76;O+;laranja
Carla Helena Nunes;50;753.761.092-40;29.470.762-1;02/05/1974;Feminino;Touro;Rayssa Stella Analu;Isaac Diogo Nunes;carla.helena.nunes@santosdumonthospital.com.br;RDU7jEuW3g;20550-000;Avenida Heitor Beltrao;558;Tijuca;Rio de Janeiro;RJ;(21) 2648-0171;(21) 98411-8176;1,75;80;B+;laranja
Carlos Igor Castro;61;441.740.936-60;17.630.630-4;14/04/1963;Masculino;aries;Rebeca Mariana;Vinicius Matheus Castro;carlos_castro@w3ag.com;sweeakKd5f;69312-245;Rua Amancio Ferreira de Lucena;144;Asa Branca;Boa Vista;RR;(95) 2879-5841;(95) 99314-8990;1,77;89;B+;preto
Carolina Amanda Laura Rodrigues;37;311.029.684-55;14.315.847-8;23/07/1987;Feminino;Leao;Carla Beatriz Marli;Noah Pietro Tiago Rodrigues;carolina-rodrigues76@foxtech.com.br;e35US36UGf;70720-660;Quadra SCRN 702/703 Bloco F;538;Asa Norte;Brasilia;DF;(61) 3776-7549;(61) 99702-5311;1,63;75;A+;laranja
Carolina Ayla Olivia Assuncao;64;520.566.919-57;32.071.232-1;16/08/1960;Feminino;Leao;Sophie Luna Sarah;Heitor Oliver Assuncao;carolina_assuncao@moncoes.com.br;TqOpeOTgQh;68928-283;1ª Travessa da Sao Joao;792;Fonte Nova;Santana;AP;(96) 3715-8316;(96) 99525-6262;1,71;77;O+;amarelo
Carolina Tatiane Gomes;24;827.007.261-38;43.893.305-9;27/01/2000;Feminino;Aquario;Daniela Daniela Stefany;Leonardo Ian Andre Gomes;carolina.tatiane.gomes@temavonfeccaosjc.com.br;4hZUxZHSNL;77814-807;Avenida Chico Mendes;395;Loteamento Monte Sinai;Araguaina;TO;(63) 3974-5263;(63) 99785-2057;1,5;65;AB+;laranja
Caroline Catarina Porto;23;711.439.409-89;14.939.271-0;20/04/2001;Feminino;aries;Bianca Marina;Noah Breno Caue Porto;caroline.catarina.porto@zigotto.com.br;Ak9QlRiGGF;74477-018;Rua A 32;697;Da Vitoria;Goiania;GO;(62) 2714-4647;(62) 99162-3481;1,6;57;AB-;vermelho
Caroline Isabela Andrea Fogaca;26;968.351.461-84;43.840.809-3;02/10/1998;Feminino;Libra;Eliane Vera Mirella;Pietro Victor Fogaca;caroline.isabela.fogaca@pobox.com;oK7CHwbniH;64606-405;Avenida Doroteu Neres;511;Paraibinha;Picos;PI;(89) 3831-0753;(89) 98974-3273;1,61;76;AB+;azul
Caroline Vera Nascimento;57;173.320.817-84;17.593.448-4;07/09/1967;Feminino;Virgem;Carolina Betina Tereza;Enrico Igor Daniel Nascimento;caroline_vera_nascimento@zipmail.com;o2qLMPMADX;65908-444;Rua Safira;529;Jardim Perola;Imperatriz;MA;(98) 2543-7868;(98) 98866-9386;1,7;83;AB-;verde
Catarina Flavia Costa;32;592.501.616-54;42.766.070-1;23/07/1992;Feminino;Leao;Priscila Clarice;Jorge Nelson Costa;catarina-costa92@novaface.com.br;6jaLyLsOUM;25081-080;Rua Quatorze;582;Vila Operaria;Duque de Caxias;RJ;(21) 3602-1158;(21) 98973-7260;1,53;80;O-;vermelho
Catarina Natalia da Conceicao;79;834.612.452-08;50.306.203-0;22/02/1945;Feminino;Peixes;Francisca Tereza Carolina;Luis Samuel da Conceicao;catarina_natalia_daconceicao@oxiteno.com;JzFgX0pRY3;69902-419;Travessa Manaus;419;Eldorado;Rio Branco;AC;(68) 2662-6818;(68) 99696-1805;1,56;46;O-;vermelho
Caua Danilo Jesus;69;354.711.587-68;44.432.894-4;19/06/1955;Masculino;Gemeos;Daiane Raquel;Gustavo Thiago Jesus;caua.danilo.jesus@me.com;JiDGUF96LB;50850-120;Rua Manoel de Albuquerque Fernandes;736;Afogados;Recife;PE;(81) 3988-6472;(81) 98315-3918;1,73;69;B+;verde
Caua Filipe Renan Monteiro;54;576.085.320-17;11.400.059-1;17/04/1970;Masculino;aries;Rafaela Fabiana;Danilo Geraldo Anthony Monteiro;cauafilipemonteiro@amplisat.com.br;Jjl5mJdAZz;88307-350;Rua Aldo Marcos da Cunha;832;Ressacada;Itajai;SC;(47) 3779-2686;(47) 98467-1168;1,82;104;O+;vermelho
Caue Matheus Manoel Barbosa;20;235.544.967-82;27.008.266-9;08/03/2004;Masculino;Peixes;Laura Nicole;Henry Breno Daniel Barbosa;caue-barbosa84@bbcreative.org;RzAd2Hu8qx;77060-194;Avenida 1;693;Jardim Aureny II (Taquaralto);Palmas;TO;(63) 3715-3967;(63) 99405-3639;1,63;58;AB-;vermelho
Cesar Benjamin Carvalho;22;050.241.949-00;13.894.410-6;07/08/2002;Masculino;Leao;Isis Jessica;Francisco Thiago Carvalho;cesar_carvalho@cladm.com.br;xq6L4ANssc;49087-600;Rua Senhor do Bonfim;788;Santos Dumont;Aracaju;SE;(79) 2570-8015;(79) 99491-7467;1,92;87;A+;roxo
Clarice Sarah Laura Alves;48;547.413.276-04;34.217.620-1;22/01/1976;Feminino;Aquario;Maite Tereza;Claudio Luiz Victor Alves;clarice_alves@gconsult.com.br;x92YXYd1OL;57085-075;Quadra 4;731;Benedito Bentes;Maceio;AL;(82) 2787-2692;(82) 99345-6491;1,64;62;B-;verde
Claudia Emanuelly dos Santos;75;334.647.497-62;12.876.393-0;12/04/1949;Feminino;aries;Mariane Jessica;Pietro Noah Otavio dos Santos;claudia.emanuelly.dossantos@dpi.indl.com.br;63Skmymnb6;88505-226;Rua Timbo;883;Petropolis;Lages;SC;(49) 3803-5528;(49) 98139-7626;1,77;45;O-;vermelho
Cristiane Luiza Moreira;25;381.713.391-07;40.477.562-7;03/10/1999;Feminino;Libra;Luzia Renata Cristiane;Tiago Manuel Geraldo Moreira;cristiane.luiza.moreira@studiodeideias.com;8nEPrLY37i;54335-050;Rua Mirador;110;Prazeres;Jaboatao dos Guararapes;PE;(81) 3601-6331;(81) 98138-7330;1,83;64;B+;roxo
Daniel Benjamin Porto;19;396.483.872-14;24.983.606-3;17/05/2005;Masculino;Touro;Helena Aparecida;Carlos Daniel Nelson Porto;daniel.benjamin.porto@cenia.com.br;ZQEi73Ty0H;63040-670;Rua Jose Carneiro Filho;540;Lagoa Seca;Juazeiro do Norte;CE;(88) 3804-1361;(88) 98209-4003;1,62;53;B+;azul
Daniel Marcelo Julio Campos;29;224.224.417-50;13.753.681-1;16/06/1995;Masculino;Gemeos;Louise Antonella Malu;Danilo Guilherme Vicente Campos;daniel_marcelo_campos@asconnet.com.br;QDNf7wNTBR;72641-141;Quadra Quadra 605 Conjunto 26-B;344;Recanto das Emas;Brasilia;DF;(61) 2929-5800;(61) 98376-0402;1,77;88;AB-;amarelo
Daniela Isadora Livia Duarte;42;209.040.002-14;44.983.635-6;09/01/1982;Feminino;Capricornio;Claudia Ayla Jaqueline;Erick Yuri Eduardo Duarte;daniela_isadora_duarte@advogadostb.com.br;PTsheYIyKQ;74740-360;Rua AP 1;391;Conjunto Residencial Aruana III;Goiania;GO;(62) 3756-8133;(62) 99970-2463;1,85;72;A-;roxo
Daniela Mirella Almada;42;366.096.436-01;19.144.169-7;26/02/1982;Feminino;Peixes;Eliane Maya;Edson Rodrigo Leandro Almada;daniela.mirella.almada@aol.com;hMU0tJn1sS;49048-520;Rua Joao Carlos de Oliveira;193;Luzia;Aracaju;SE;(79) 3889-2007;(79) 99774-8337;1,61;77;O-;amarelo
Davi Felipe Guilherme Sales;76;185.102.050-00;13.978.023-3;07/07/1948;Masculino;Cancer;Lorena Daniela Tereza;Pedro Julio Sales;davi-sales82@ntiequipamentos.com.br;4TXm9NUrP3;67010-260;Passagem Cristo Rei;553;Guanabara;Ananindeua;PA;(91) 2876-2399;(91) 98351-0555;1,86;89;O-;roxo
Diogo Augusto Novaes;66;871.730.333-81;17.207.218-9;13/04/1958;Masculino;aries;Nair Melissa Josefa;Nicolas Leonardo Augusto Novaes;diogo.augusto.novaes@gimail.com;YKqyoiQ51L;78132-664;Rua Rosa Branca;948;Primavera;Varzea Grande;MT;(65) 2897-1394;(65) 99471-7359;1,99;56;O-;roxo
Diogo Rafael Anthony Cardoso;36;580.663.448-56;42.507.016-5;17/04/1988;Masculino;aries;Adriana Rafaela Lucia;Calebe Caleb Gael Cardoso;diogo-cardoso72@skapcom.com.br;AUjMLwI0HH;54470-440;Rua Visel;627;Barra de Jangada;Jaboatao dos Guararapes;PE;(81) 3694-1239;(81) 99850-5793;1,76;70;A-;preto
Eduardo Benicio Martin Novaes;30;602.308.943-72;21.436.099-4;03/06/1994;Masculino;Gemeos;Aline Adriana Teresinha;Leandro Igor Novaes;eduardo_benicio_novaes@gutembier.com.br;EEKLPf7p46;18200-200;Rua Alfredo Maia;601;Centro;Itapetininga;SP;(15) 3669-4188;(15) 99943-5228;1,62;63;AB+;amarelo
Elaine Francisca Jesus;25;450.330.803-34;50.850.524-0;12/09/1999;Feminino;Virgem;Eduarda Vanessa;Elias Arthur Jesus;elaine_francisca_jesus@alphagraphics.com.br;5mQCEe4Mjx;49065-040;Travessa Altamira;984;Industrial;Aracaju;SE;(79) 2964-4911;(79) 99481-4675;1,82;66;B-;verde
Emanuel Bento Santos;32;168.852.071-60;22.736.424-7;12/07/1992;Masculino;Cancer;Luiza Rosangela Maya;Luiz Noah Santos;emanuelbentosantos@embraer.com;lC12OYkx4m;93344-300;Rua Jose Kayser;918;Primavera;Novo Hamburgo;RS;(51) 3957-3534;(51) 99895-7812;1,91;61;O+;preto
Emanuel Thales Ramos;40;278.241.912-90;16.957.475-1;08/04/1984;Masculino;aries;Eloa Fatima Teresinha;Oliver Pedro Henrique Ramos;emanuelthalesramos@agenziamarketing.com.br;IQ0jJ0MMss;95033-318;Rua Reynaldo Joao Piccoli;487;Monte Berico;Caxias do Sul;RS;(54) 3728-2133;(54) 99880-3268;1,7;85;AB+;azul
Emanuel Thomas Calebe Nascimento;75;582.852.394-54;26.312.523-3;01/10/1949;Masculino;Libra;Alana Malu Raquel;Marcos Nathan Marcos Vinicius Nascimento;emanuelthomasnascimento@afsn.com.br;5urzrNAc6o;76913-772;Rua Sena Madureira;524;Riachuelo;Ji-Parana;RO;(69) 2971-6493;(69) 98909-7354;1,75;96;B+;vermelho
Emilly Ayla Rita Araujo;54;252.588.960-64;36.777.738-1;23/04/1970;Feminino;Touro;Marcela Nicole;Kaique Joaquim Araujo;emillyaylaaraujo@sefaz.am.gov.br;iUH2IggSU6;69314-025;Rua Pirapitinga;427;Piscicultura;Boa Vista;RR;(95) 3897-5997;(95) 98259-6187;1,65;81;B+;vermelho
